Prompt,SubjectEntity,Relation,ObjectEntity,Probability
Belize shares border with [MASK].,Belize,CountryBordersWithCountry,Guatemala,0.7792
Bolivia shares border with [MASK].,Bolivia,CountryBordersWithCountry,Peru,0.5312
Bosnia and herzegovina shares border with [MASK].,Bosnia and herzegovina,CountryBordersWithCountry,Croatia,0.6268
Djibouti shares border with [MASK].,Djibouti,CountryBordersWithCountry,Ethiopia,0.5966
Dominican republic shares border with [MASK].,Dominican republic,CountryBordersWithCountry,Haiti,0.6762
Eritrea shares border with [MASK].,Eritrea,CountryBordersWithCountry,Ethiopia,0.9121
Pakistan shares border with [MASK].,Pakistan,CountryBordersWithCountry,India,0.6888
Rwanda shares border with [MASK].,Rwanda,CountryBordersWithCountry,Uganda,0.7352
Somalia shares border with [MASK].,Somalia,CountryBordersWithCountry,Ethiopia,0.6456
Uganda shares border with [MASK].,Uganda,CountryBordersWithCountry,Kenya,0.5007
Venezuela shares border with [MASK].,Venezuela,CountryBordersWithCountry,Colombia,0.6413
