Prompt,SubjectEntity,Relation,ObjectEntity,Probability
A. R. Rahman speaks in [MASK].,A. R. Rahman,PersonLanguage,English,0.5617
Abdullah Gül speaks in [MASK].,Abdullah Gül,PersonLanguage,Turkish,0.6311
Akshay Kumar speaks in [MASK].,Akshay Kumar,PersonLanguage,Hindi,0.5165
Avril Lavigne speaks in [MASK].,Avril Lavigne,PersonLanguage,French,0.8634
Beyoncé speaks in [MASK].,Beyoncé,PersonLanguage,English,0.5245
Blaise Matuidi speaks in [MASK].,Blaise Matuidi,PersonLanguage,French,0.7477
Buzz Aldrin speaks in [MASK].,Buzz Aldrin,PersonLanguage,English,0.6513
Eminem speaks in [MASK].,Eminem,PersonLanguage,English,0.5295
George Harrison speaks in [MASK].,George Harrison,PersonLanguage,English,0.7731
Henrique Capriles Radonski speaks in [MASK].,Henrique Capriles Radonski,PersonLanguage,Portuguese,0.8669
Jeremy Renner speaks in [MASK].,Jeremy Renner,PersonLanguage,English,0.6146
Jim Carrey speaks in [MASK].,Jim Carrey,PersonLanguage,English,0.6421
Jose Michimani speaks in [MASK].,Jose Michimani,PersonLanguage,English,0.6137
Maria Sharapova speaks in [MASK].,Maria Sharapova,PersonLanguage,Russian,0.9185
Mariah Carey speaks in [MASK].,Mariah Carey,PersonLanguage,English,0.6218
Mick Foley speaks in [MASK].,Mick Foley,PersonLanguage,English,0.5937
Miranda Cosgrove speaks in [MASK].,Miranda Cosgrove,PersonLanguage,English,0.5175
Mohammed bin Rashid Al Maktoum speaks in [MASK].,Mohammed bin Rashid Al Maktoum,PersonLanguage,Arabic,0.5261
Oscar dos Santos Emboaba Júnior speaks in [MASK].,Oscar dos Santos Emboaba Júnior,PersonLanguage,Portuguese,0.6949
Patrick Stewart speaks in [MASK].,Patrick Stewart,PersonLanguage,English,0.6769
Rafael Nadal speaks in [MASK].,Rafael Nadal,PersonLanguage,Spanish,0.6758
Ricky Gervais speaks in [MASK].,Ricky Gervais,PersonLanguage,English,0.578
Rihanna speaks in [MASK].,Rihanna,PersonLanguage,English,0.5711
Salman Khan speaks in [MASK].,Salman Khan,PersonLanguage,English,0.6602
Selena Gomez speaks in [MASK].,Selena Gomez,PersonLanguage,English,0.5158
Thiago Alcântara speaks in [MASK].,Thiago Alcântara,PersonLanguage,Portuguese,0.7684
Vladimir Putin speaks in [MASK].,Vladimir Putin,PersonLanguage,Russian,0.7637
Wiz Khalifa speaks in [MASK].,Wiz Khalifa,PersonLanguage,English,0.5067
Zac Efron speaks in [MASK].,Zac Efron,PersonLanguage,English,0.5937
