SubjectEntity,relation,ObjectEntity
Abarth,CompanyParentOrganization,"['stellantis', 'stellantis italy']"
Abbott-detroit,CompanyParentOrganization,['NONE']
Ac cars,CompanyParentOrganization,['NONE']
Adler,CompanyParentOrganization,['NONE']
Aero,CompanyParentOrganization,['NONE']
Aichi,CompanyParentOrganization,['NONE']
Alcoa,CompanyParentOrganization,['NONE']
Aldi,CompanyParentOrganization,['NONE']
Alfa romeo,CompanyParentOrganization,['stellantis']
Alphi,CompanyParentOrganization,['NONE']
Alpine,CompanyParentOrganization,['renault']
Apple inc.,CompanyParentOrganization,['NONE']
Ariès,CompanyParentOrganization,['NONE']
Aro,CompanyParentOrganization,['NONE']
Asus,CompanyParentOrganization,['NONE']
At&t,CompanyParentOrganization,['NONE']
Audi,CompanyParentOrganization,"['volkswagen group', 'volkswagen']"
Auto union,CompanyParentOrganization,['NONE']
Autobianchi,CompanyParentOrganization,['fiat']
Automobiles gonfaronnaises sportives,CompanyParentOrganization,['NONE']
Automobili turismo e sport,CompanyParentOrganization,['NONE']
Avia,CompanyParentOrganization,['daewoo']
Avia,CompanyParentOrganization,['ashok leyland']
Avia,CompanyParentOrganization,"['czechoslovak group', 'czechoslovak']"
Barkas,CompanyParentOrganization,['industrieverband fahrzeugbau']
Bentley,CompanyParentOrganization,"['volkswagen group', 'volkswagen']"
Bitter automobile,CompanyParentOrganization,['NONE']
Blu,CompanyParentOrganization,"['wind (italy)', 'wind']"
Bmw,CompanyParentOrganization,['NONE']
Bmw m,CompanyParentOrganization,['bmw']
Borgward,CompanyParentOrganization,['NONE']
Bristol cars,CompanyParentOrganization,['kamkorp']
Byd auto,CompanyParentOrganization,"['byd', 'byd company']"
Chrysler,CompanyParentOrganization,['NONE']
Clénet coachworks,CompanyParentOrganization,['NONE']
Dacia,CompanyParentOrganization,"['renault-nissan-mitsubishi', 'renault–nissan–mitsubishi alliance']"
Dacia,CompanyParentOrganization,['renault']
Daewoo,CompanyParentOrganization,['NONE']
Daf,CompanyParentOrganization,['paccar']
Daihatsu,CompanyParentOrganization,['toyota']
Daimler company,CompanyParentOrganization,"['tata motors', 'tata motors ltd', 'tata']"
Daimler company,CompanyParentOrganization,"['daimler motorsoration', 'daimler motors corporation', 'daimler']"
Daimler company,CompanyParentOrganization,"['ford', 'ford of europe']"
Daimler company,CompanyParentOrganization,"['birmingham small arms', 'birmingham small arms company']"
Daimler company,CompanyParentOrganization,['jaguar cars']
David,CompanyParentOrganization,['NONE']
De tomaso,CompanyParentOrganization,['NONE']
Dodge,CompanyParentOrganization,"['stellantis', 'stellantis north america']"
English racing automobiles,CompanyParentOrganization,['NONE']
Eraz,CompanyParentOrganization,['NONE']
Ericsson,CompanyParentOrganization,['NONE']
Fabryka samochodów małolitrażowych,CompanyParentOrganization,['fiat']
Ferrari s.p.a.,CompanyParentOrganization,"['ferrari', 'ferrari n.v.']"
Fiat,CompanyParentOrganization,['stellantis']
Ford motor company,CompanyParentOrganization,['NONE']
Ginetta cars,CompanyParentOrganization,['NONE']
Gordini,CompanyParentOrganization,['renault']
Hexe,CompanyParentOrganization,['NONE']
Hitachi,CompanyParentOrganization,['NONE']
Holden,CompanyParentOrganization,"['general motors', 'gm']"
Huawei,CompanyParentOrganization,['NONE']
Hyundai motor group,CompanyParentOrganization,['NONE']
Ibm,CompanyParentOrganization,['NONE']
Isuzu,CompanyParentOrganization,['NONE']
Koenigsegg,CompanyParentOrganization,['NONE']
Lamborghini,CompanyParentOrganization,['audi']
Lancia,CompanyParentOrganization,"['stellantis italy', 'stellantis']"
Land rover,CompanyParentOrganization,"['tata motors', 'tata motors ltd', 'tata']"
Land rover,CompanyParentOrganization,['bmw']
Land rover,CompanyParentOrganization,"['ford motor company', 'ford motor', 'ford']"
Land rover,CompanyParentOrganization,['british leyland']
Lea-francis,CompanyParentOrganization,['NONE']
Louis vuitton,CompanyParentOrganization,['lvmh']
Max motors,CompanyParentOrganization,['NONE']
Mercedes-amg,CompanyParentOrganization,"['mercedes-benz', 'mercedes-benz group']"
Mercedes-benz group,CompanyParentOrganization,['NONE']
Messerschmitt,CompanyParentOrganization,['NONE']
Microsoft,CompanyParentOrganization,['NONE']
Mitsubishi motors,CompanyParentOrganization,"['mitsubishi group', 'mitsubishi']"
Mtx,CompanyParentOrganization,['NONE']
Nedcar,CompanyParentOrganization,['vdl groep']
Oltcit,CompanyParentOrganization,"['citroen', 'citroën']"
Osella,CompanyParentOrganization,['NONE']
Pope-toledo,CompanyParentOrganization,['NONE']
Porsche,CompanyParentOrganization,"['volkswagen group', 'volkswagen']"
Prada,CompanyParentOrganization,['NONE']
Praga,CompanyParentOrganization,['NONE']
Rayton fissore,CompanyParentOrganization,['NONE']
Ruxton,CompanyParentOrganization,['NONE']
Saab,CompanyParentOrganization,"['saab', 'saab group']"
Saab,CompanyParentOrganization,['saab-scania']
Saab,CompanyParentOrganization,['spyker n.v.']
Saab,CompanyParentOrganization,"['national electric vehicle sweden', 'nevs']"
Saab,CompanyParentOrganization,['general motors']
Seat,CompanyParentOrganization,"['volkswagen group', 'volkswagen']"
Sony,CompanyParentOrganization,"['sony group', 'sony']"
Stellantis north america,CompanyParentOrganization,['stellantis']
Stellantis north america,CompanyParentOrganization,"['fiat chrysler automobiles', 'fiat', 'chrysler']"
Stellantis north america,CompanyParentOrganization,"['fiat s.p.a.', 'fiat']"
Stellantis north america,CompanyParentOrganization,"['mercedes-benz', 'mercedes-benz group']"
Stellantis north america,CompanyParentOrganization,"['cerberus capital management', 'cerberus']"
Subaru,CompanyParentOrganization,"['subaruoration', 'subaru corporation', 'subaru']"
Suzuki,CompanyParentOrganization,['NONE']
Tata motors ltd,CompanyParentOrganization,['NONE']
Texas instruments,CompanyParentOrganization,['NONE']
Tvr,CompanyParentOrganization,['NONE']
Umm,CompanyParentOrganization,['NONE']
Unic,CompanyParentOrganization,"['fiat industrial vehicles', 'fiat']"
Velie,CompanyParentOrganization,['NONE']
Vignale,CompanyParentOrganization,"['ford motor company', 'ford motor', 'ford']"
Waymo,CompanyParentOrganization,"['alphabet inc.', 'alphabet']"
Zato vehicles,CompanyParentOrganization,['NONE']
Zaz,CompanyParentOrganization,"['ukrainian automobile corporation', 'ukrainian automobileoration']"
Zeddeco,CompanyParentOrganization,['NONE']
Zeiller & fournier,CompanyParentOrganization,['NONE']
Zeno galassi,CompanyParentOrganization,['NONE']
Zentralmobil,CompanyParentOrganization,['NONE']
Zetgelette,CompanyParentOrganization,['NONE']
