SubjectEntity,relation,ObjectEntity
Afghanistan,CountryBordersWithCountry,['pakistan']
Afghanistan,CountryBordersWithCountry,['iran']
Afghanistan,CountryBordersWithCountry,['uzbekistan']
Afghanistan,CountryBordersWithCountry,"['china', ""people's republic of china""]"
Afghanistan,CountryBordersWithCountry,['tajikistan']
Afghanistan,CountryBordersWithCountry,['turkmenistan']
Albania,CountryBordersWithCountry,['greece']
Albania,CountryBordersWithCountry,"['north macedonia', 'macedonia']"
Albania,CountryBordersWithCountry,['montenegro']
Albania,CountryBordersWithCountry,['serbia']
Albania,CountryBordersWithCountry,['kosovo']
Argentina,CountryBordersWithCountry,['bolivia']
Argentina,CountryBordersWithCountry,['brazil']
Argentina,CountryBordersWithCountry,['paraguay']
Argentina,CountryBordersWithCountry,['chile']
Argentina,CountryBordersWithCountry,['uruguay']
Armenia,CountryBordersWithCountry,['iran']
Armenia,CountryBordersWithCountry,['georgia']
Armenia,CountryBordersWithCountry,['azerbaijan']
Armenia,CountryBordersWithCountry,['turkey']
Austria,CountryBordersWithCountry,['italy']
Austria,CountryBordersWithCountry,['liechtenstein']
Austria,CountryBordersWithCountry,['germany']
Austria,CountryBordersWithCountry,['switzerland']
Austria,CountryBordersWithCountry,['slovakia']
Austria,CountryBordersWithCountry,['slovenia']
Austria,CountryBordersWithCountry,['hungary']
Austria,CountryBordersWithCountry,"['czechia', 'czech republic']"
Azerbaijan,CountryBordersWithCountry,"['republic of artsakh', 'artsakh']"
Azerbaijan,CountryBordersWithCountry,['iran']
Azerbaijan,CountryBordersWithCountry,['armenia']
Azerbaijan,CountryBordersWithCountry,['russia']
Azerbaijan,CountryBordersWithCountry,['turkey']
Azerbaijan,CountryBordersWithCountry,['georgia']
Bangladesh,CountryBordersWithCountry,['myanmar']
Bangladesh,CountryBordersWithCountry,['india']
Belarus,CountryBordersWithCountry,['russia']
Belarus,CountryBordersWithCountry,['poland']
Belarus,CountryBordersWithCountry,['latvia']
Belarus,CountryBordersWithCountry,['ukraine']
Belarus,CountryBordersWithCountry,['lithuania']
Benin,CountryBordersWithCountry,['burkina faso']
Benin,CountryBordersWithCountry,['niger']
Benin,CountryBordersWithCountry,['togo']
Benin,CountryBordersWithCountry,['nigeria']
Bhutan,CountryBordersWithCountry,"['china', ""people's republic of china""]"
Bhutan,CountryBordersWithCountry,['india']
Brazil,CountryBordersWithCountry,['uruguay']
Brazil,CountryBordersWithCountry,['argentina']
Brazil,CountryBordersWithCountry,['french guiana']
Brazil,CountryBordersWithCountry,['venezuela']
Brazil,CountryBordersWithCountry,['france']
Brazil,CountryBordersWithCountry,['bolivia']
Brazil,CountryBordersWithCountry,['peru']
Brazil,CountryBordersWithCountry,['colombia']
Brazil,CountryBordersWithCountry,['suriname']
Brazil,CountryBordersWithCountry,['paraguay']
Brazil,CountryBordersWithCountry,['guyana']
Burundi,CountryBordersWithCountry,['tanzania']
Burundi,CountryBordersWithCountry,"['congo', 'democratic republic of the congo']"
Burundi,CountryBordersWithCountry,['rwanda']
Cambodia,CountryBordersWithCountry,['vietnam']
Cambodia,CountryBordersWithCountry,['laos']
Cambodia,CountryBordersWithCountry,['thailand']
Cameroon,CountryBordersWithCountry,['chad']
Cameroon,CountryBordersWithCountry,"['africa', 'central african republic']"
Cameroon,CountryBordersWithCountry,"['republic of the congo', 'congo']"
Cameroon,CountryBordersWithCountry,"['equatorial guinea', 'guinea']"
Cameroon,CountryBordersWithCountry,['nigeria']
Cameroon,CountryBordersWithCountry,['gabon']
Canada,CountryBordersWithCountry,['greenland']
Canada,CountryBordersWithCountry,"['usa', 'united states of america']"
Cape Verde,CountryBordersWithCountry,['NONE']
Chad,CountryBordersWithCountry,['nigeria']
Chad,CountryBordersWithCountry,['niger']
Chad,CountryBordersWithCountry,['sudan']
Chad,CountryBordersWithCountry,['cameroon']
Chad,CountryBordersWithCountry,"['africa', 'central african republic']"
Chad,CountryBordersWithCountry,['libya']
Chile,CountryBordersWithCountry,['argentina']
Chile,CountryBordersWithCountry,['peru']
Chile,CountryBordersWithCountry,['bolivia']
Colombia,CountryBordersWithCountry,['nicaragua']
Colombia,CountryBordersWithCountry,['ecuador']
Colombia,CountryBordersWithCountry,['venezuela']
Colombia,CountryBordersWithCountry,['peru']
Colombia,CountryBordersWithCountry,['panama']
Colombia,CountryBordersWithCountry,['brazil']
Croatia,CountryBordersWithCountry,['slovenia']
Croatia,CountryBordersWithCountry,['hungary']
Croatia,CountryBordersWithCountry,['serbia']
Croatia,CountryBordersWithCountry,['montenegro']
Croatia,CountryBordersWithCountry,['bosnia and herzegovina']
Croatia,CountryBordersWithCountry,['liberland']
Cyprus,CountryBordersWithCountry,['turkish republic of northern cyprus']
Cyprus,CountryBordersWithCountry,['akrotiri and dhekelia']
Cyprus,CountryBordersWithCountry,['israel']
Democratic republic of the congo,CountryBordersWithCountry,['burundi']
Democratic republic of the congo,CountryBordersWithCountry,['zambia']
