SubjectEntity,relation,ObjectEntity
Adam Levine,PersonCauseOfDeath,['NONE']
Adam west,PersonCauseOfDeath,['leukemia']
André leon talley,PersonCauseOfDeath,"['myocardial infarction', 'infarction']"
André leon talley,PersonCauseOfDeath,"['covid-19', 'covid']"
Angela Merkel,PersonCauseOfDeath,['NONE']
Angelina Jolie,PersonCauseOfDeath,['NONE']
Antoine Griezmann,PersonCauseOfDeath,['NONE']
António Guterres,PersonCauseOfDeath,['NONE']
Ban Ki-moon,PersonCauseOfDeath,['NONE']
Barack Obama,PersonCauseOfDeath,['NONE']
Bob marley,PersonCauseOfDeath,['melanoma']
Bob saget,PersonCauseOfDeath,"['head injury', 'injury']"
Bob saget,PersonCauseOfDeath,"['blunt trauma', 'trauma']"
Brad Pitt,PersonCauseOfDeath,['NONE']
Bruce Willis,PersonCauseOfDeath,['NONE']
Cameron boyce,PersonCauseOfDeath,"['sudden unexpected death in epilepsy', 'epilepsy']"
Camila Cabello,PersonCauseOfDeath,['NONE']
Chadwick boseman,PersonCauseOfDeath,"['colorectal cancer', 'cancer']"
Charlie daniels,PersonCauseOfDeath,['stroke']
Dan kaminsky,PersonCauseOfDeath,"['diabetic ketoacidosis', 'ketoacidosis']"
David Beckham,PersonCauseOfDeath,['NONE']
David Cameron,PersonCauseOfDeath,['NONE']
David graeber,PersonCauseOfDeath,['internal bleeding']
David graeber,PersonCauseOfDeath,"['acute pancreatitis', 'pancreatitis']"
Elizabeth Warren,PersonCauseOfDeath,['NONE']
Elon musk,PersonCauseOfDeath,['NONE']
Elton John,PersonCauseOfDeath,['NONE']
Fred willard,PersonCauseOfDeath,['coronary artery disease']
Fred willard,PersonCauseOfDeath,['cardiac arrest']
Fred willard,PersonCauseOfDeath,['myelodysplastic syndrome']
George michael,PersonCauseOfDeath,['fatty liver disease']
George michael,PersonCauseOfDeath,"['dilated cardiomyopathy', 'cardiomyopathy']"
Gilbert gottfried,PersonCauseOfDeath,"['ventricular tachycardia', 'tachycardia']"
Glenn fredly,PersonCauseOfDeath,['meningitis']
Grant imahara,PersonCauseOfDeath,"['intracranial aneurysm', 'aneurysm']"
Irrfan khan,PersonCauseOfDeath,"['tumor', 'neuroendocrine tumor']"
Jamal khashoggi,PersonCauseOfDeath,['murder']
Jane Goodall,PersonCauseOfDeath,['NONE']
Jeff bezos,PersonCauseOfDeath,['NONE']
Jenni rivera,PersonCauseOfDeath,"['aircraft crash', 'crash']"
Jennifer Aniston,PersonCauseOfDeath,['NONE']
Jennifer Lopez,PersonCauseOfDeath,['NONE']
Jimi hendrix,PersonCauseOfDeath,"['pulmonary emphysema', 'emphysema']"
Joaquin Phoenix,PersonCauseOfDeath,['NONE']
Joe biden,PersonCauseOfDeath,['NONE']
John Grisham,PersonCauseOfDeath,['NONE']
John mcafee,PersonCauseOfDeath,['hanging']
John mccain,PersonCauseOfDeath,['glioblastoma']
Johnny Depp,PersonCauseOfDeath,['NONE']
Jonah lomu,PersonCauseOfDeath,['cardiac arrest']
Jonah lomu,PersonCauseOfDeath,['nephrotic syndrome']
Jonah lomu,PersonCauseOfDeath,['kidney failure']
Jules bianchi,PersonCauseOfDeath,"['diffuse axonal injury', 'injury']"
Julia Roberts,PersonCauseOfDeath,['NONE']
Kylie jenner,PersonCauseOfDeath,['NONE']
Leon allen white,PersonCauseOfDeath,['heart failure']
Leon allen white,PersonCauseOfDeath,['pneumonia']
Lina ben mhenni,PersonCauseOfDeath,['kidney failure']
Lorin maazel,PersonCauseOfDeath,['pneumonia']
Mac miller,PersonCauseOfDeath,"['drug overdose', 'overdose']"
Martin mcguinness,PersonCauseOfDeath,['amyloidosis']
Marília mendonça,PersonCauseOfDeath,"['accident', 'aviation accident']"
Meat loaf,PersonCauseOfDeath,"['covid-19', 'covid']"
Merle haggard,PersonCauseOfDeath,['pneumonia']
Michael jackson,PersonCauseOfDeath,"['combined drug intoxication', 'intoxication']"
Michael jackson,PersonCauseOfDeath,"['myocardial infarction', 'infarction']"
Mike fitzpatrick,PersonCauseOfDeath,['melanoma']
Miley Cyrus,PersonCauseOfDeath,['NONE']
Muhammad ali,PersonCauseOfDeath,['respiratory disease']
Natalie Portman,PersonCauseOfDeath,['NONE']
Naya rivera,PersonCauseOfDeath,['drowning']
Neil Young,PersonCauseOfDeath,['NONE']
Neil deGrasse Tyson,PersonCauseOfDeath,['NONE']
Neymar,PersonCauseOfDeath,['NONE']
