SubjectEntity,relation,ObjectEntity
Aamir Khan,PersonLanguage,['hindi']
Aamir Khan,PersonLanguage,['english']
Aamir Khan,PersonLanguage,['urdu']
Ahmet Davutoğlu,PersonLanguage,['english']
Ahmet Davutoğlu,PersonLanguage,['arabic']
Ahmet Davutoğlu,PersonLanguage,['german']
Ahmet Davutoğlu,PersonLanguage,['turkish']
Alejandro Sanz,PersonLanguage,['italian']
Alejandro Sanz,PersonLanguage,['spanish']
Alejandro Sanz,PersonLanguage,['portuguese']
Alejandro Sanz,PersonLanguage,['catalan']
Alessandro Del Piero,PersonLanguage,['italian']
Alicia Keys,PersonLanguage,['english']
André-Pierre Gignac,PersonLanguage,['french']
Andrés Iniesta,PersonLanguage,['spanish']
Andy Murray,PersonLanguage,['english']
Ariana Grande,PersonLanguage,['english']
Arnold Schwarzenegger,PersonLanguage,"['austrian german', 'austrian', 'german']"
Arnold Schwarzenegger,PersonLanguage,['german']
Arnold Schwarzenegger,PersonLanguage,['english']
Arvind Kejriwal,PersonLanguage,['english']
Arvind Kejriwal,PersonLanguage,['hindi']
Ashley Young,PersonLanguage,['english']
Barbara Palvin,PersonLanguage,['hungarian']
Barbara Palvin,PersonLanguage,['english']
Barbara Palvin,PersonLanguage,['japanese']
Barbara Palvin,PersonLanguage,['german']
Barbara Palvin,PersonLanguage,['french']
Bastian Schweinsteiger,PersonLanguage,['german']
Bastian Schweinsteiger,PersonLanguage,['english']
Bill Maher,PersonLanguage,['english']
Bob Marley,PersonLanguage,['english']
Brie Larson,PersonLanguage,['english']
Brie Larson,PersonLanguage,['french']
Britney Spears,PersonLanguage,['english']
Bruce Springsteen,PersonLanguage,['english']
Bruno Mars,PersonLanguage,['english']
Bruno Mars,PersonLanguage,['spanish']
Caroline Wozniacki,PersonLanguage,['english']
Caroline Wozniacki,PersonLanguage,['polish']
Caroline Wozniacki,PersonLanguage,['danish']
CeeLo Green,PersonLanguage,['english']
Cher,PersonLanguage,['english']
Chetan Bhagat,PersonLanguage,['hindi']
Chetan Bhagat,PersonLanguage,['english']
Chetan Bhagat,PersonLanguage,['tamil']
Chloë Grace Moretz,PersonLanguage,['english']
Chris Brown,PersonLanguage,['english']
Christina Aguilera,PersonLanguage,['english']
Claire Holt,PersonLanguage,['english']
David Cameron,PersonLanguage,['english']
David De Gea,PersonLanguage,['spanish']
David De Gea,PersonLanguage,['english']
Drake,PersonLanguage,['english']
Dwight Howard,PersonLanguage,['english']
Ed Sheeran,PersonLanguage,['english']
Elizabeth II,PersonLanguage,['english']
Elton John,PersonLanguage,['english']
Enrique Iglesias,PersonLanguage,['english']
Enrique Iglesias,PersonLanguage,['spanish']
Ezra Klein,PersonLanguage,['english']
Fernando Alonso,PersonLanguage,['spanish']
Fernando Alonso,PersonLanguage,['english']
Fernando Alonso,PersonLanguage,['italian']
François Hollande,PersonLanguage,['french']
Gerard Piqué,PersonLanguage,['catalan']
Gerard Piqué,PersonLanguage,['english']
Gerard Piqué,PersonLanguage,['spanish']
Gordon Ramsay,PersonLanguage,['french']
Gordon Ramsay,PersonLanguage,"['british english', 'english']"
Hillary Clinton,PersonLanguage,['english']
Iker Casillas,PersonLanguage,['spanish']
Jean-Luc Mélenchon,PersonLanguage,['french']
Jean-Luc Mélenchon,PersonLanguage,['spanish']
Jennette McCurdy,PersonLanguage,['english']
Jessica Alba,PersonLanguage,['english']
Jessica B. Hill,PersonLanguage,['english']
John Kerry,PersonLanguage,['english']
John Kerry,PersonLanguage,['german']
John Kerry,PersonLanguage,['french']
Kanye West,PersonLanguage,['english']
Karim Benzema,PersonLanguage,['french']
Katy Perry,PersonLanguage,['english']
Kemal Kılıçdaroğlu,PersonLanguage,['turkish']
Kim Kardashian,PersonLanguage,['english']
