SubjectEntity,relation,ObjectEntity
Adam Levine,PersonPlaceOfDeath,['NONE']
Angela Merkel,PersonPlaceOfDeath,['NONE']
Angelina Jolie,PersonPlaceOfDeath,['NONE']
Antoine Griezmann,PersonPlaceOfDeath,['NONE']
António Guterres,PersonPlaceOfDeath,['NONE']
Ban Ki-moon,PersonPlaceOfDeath,['NONE']
Barack Obama,PersonPlaceOfDeath,['NONE']
Bell hooks,PersonPlaceOfDeath,['berea']
Bettie page,PersonPlaceOfDeath,"['los angeles', 'la']"
Bob saget,PersonPlaceOfDeath,['orlando']
Brad Pitt,PersonPlaceOfDeath,['NONE']
Brodie lee,PersonPlaceOfDeath,['jacksonville']
Bruce Willis,PersonPlaceOfDeath,['NONE']
Camila Cabello,PersonPlaceOfDeath,['NONE']
Carrie fisher,PersonPlaceOfDeath,"['los angeles, california, estados unufos', 'la', 'california']"
Chadwick boseman,PersonPlaceOfDeath,"['los angeles', 'la']"
Chester bennington,PersonPlaceOfDeath,"['palos verdes estates', 'palos verdes']"
Chuck yeager,PersonPlaceOfDeath,"['los angeles', 'la']"
Cory monteith,PersonPlaceOfDeath,['vancouver']
Dan kaminsky,PersonPlaceOfDeath,['san francisco']
David Beckham,PersonPlaceOfDeath,['NONE']
David Cameron,PersonPlaceOfDeath,['NONE']
Dusty rhodes,PersonPlaceOfDeath,['orlando']
Eduard punset,PersonPlaceOfDeath,['barcelona']
Elizabeth Warren,PersonPlaceOfDeath,['NONE']
Elon musk,PersonPlaceOfDeath,['NONE']
Elton John,PersonPlaceOfDeath,['NONE']
Elvis presley,PersonPlaceOfDeath,['graceland']
Ennio morricone,PersonPlaceOfDeath,['rome']
Garry shandling,PersonPlaceOfDeath,"['los angeles', 'la']"
Gilbert gottfried,PersonPlaceOfDeath,['manhattan']
Herman cain,PersonPlaceOfDeath,['atlanta']
Irrfan khan,PersonPlaceOfDeath,['mumbai']
Jane Goodall,PersonPlaceOfDeath,['NONE']
Jeff bezos,PersonPlaceOfDeath,['NONE']
Jenni rivera,PersonPlaceOfDeath,['monterrey']
Jennifer Aniston,PersonPlaceOfDeath,['NONE']
Jennifer Lopez,PersonPlaceOfDeath,['NONE']
Joaquin Phoenix,PersonPlaceOfDeath,['NONE']
Joe biden,PersonPlaceOfDeath,['NONE']
John Grisham,PersonPlaceOfDeath,['NONE']
John mccain,PersonPlaceOfDeath,['cornville']
Johnny Depp,PersonPlaceOfDeath,['NONE']
Julia Roberts,PersonPlaceOfDeath,['NONE']
Kazuo koike,PersonPlaceOfDeath,['tokyo']
Kofi annan,PersonPlaceOfDeath,['bern']
Kylie jenner,PersonPlaceOfDeath,['NONE']
Lata mangeshkar,PersonPlaceOfDeath,['mumbai']
Leo burnett,PersonPlaceOfDeath,"['lake zurich', 'zurich']"
Leon allen white,PersonPlaceOfDeath,['denver']
Louis armstrong,PersonPlaceOfDeath,"['new york city', 'nyc']"
Meat loaf,PersonPlaceOfDeath,['nashville']
Mf doom,PersonPlaceOfDeath,['london']
Mikhail zadornov,PersonPlaceOfDeath,['moscow']
Miley Cyrus,PersonPlaceOfDeath,['NONE']
Mourid barghouti,PersonPlaceOfDeath,['amman']
Natalie Portman,PersonPlaceOfDeath,['NONE']
Nawal el saadawi,PersonPlaceOfDeath,['cairo']
Neil Young,PersonPlaceOfDeath,['NONE']
Neil deGrasse Tyson,PersonPlaceOfDeath,['NONE']
Neymar,PersonPlaceOfDeath,['NONE']
Paul walker,PersonPlaceOfDeath,['valencia']
Peaches geldof,PersonPlaceOfDeath,['wrotham']
Pierre nkurunziza,PersonPlaceOfDeath,['karuzi']
Prince,PersonPlaceOfDeath,['chanhassen']
Prodigy,PersonPlaceOfDeath,"['las vegas', 'vegas']"
Ram dass,PersonPlaceOfDeath,['maui']
Roger ebert,PersonPlaceOfDeath,['chicago']
Roh hoe-chan,PersonPlaceOfDeath,['seoul']
Ronnie james dio,PersonPlaceOfDeath,['houston']
Satya Nadella,PersonPlaceOfDeath,['NONE']
Selena Gomez,PersonPlaceOfDeath,['NONE']
Sergio Agüero,PersonPlaceOfDeath,['NONE']
Shakira,PersonPlaceOfDeath,['NONE']
Shane warne,PersonPlaceOfDeath,['ko samui']
Shawn Mendes,PersonPlaceOfDeath,['NONE']
Sheryl Sandberg,PersonPlaceOfDeath,['NONE']
Shinzo Abe,PersonPlaceOfDeath,['NONE']
Shyla stylez,PersonPlaceOfDeath,['armstrong']
Stephen King,PersonPlaceOfDeath,['NONE']
Sundar Pichai,PersonPlaceOfDeath,['NONE']
Susan Wojcicki,PersonPlaceOfDeath,['NONE']
Sushma swaraj,PersonPlaceOfDeath,"['new delhi', 'delhi']"
Taylor swift,PersonPlaceOfDeath,['NONE']
Terry jones,PersonPlaceOfDeath,"['north london', 'london']"
Terry pratchett,PersonPlaceOfDeath,['broad chalke']
Thomas s. monson,PersonPlaceOfDeath,['salt lake city']
Tim Cook,PersonPlaceOfDeath,['NONE']
Tim-Berners Lee,PersonPlaceOfDeath,['NONE']
Tom Hanks,PersonPlaceOfDeath,['NONE']
Tupac shakur,PersonPlaceOfDeath,"['university medical center of southern nevada', 'nevada']"
Vicente fernández,PersonPlaceOfDeath,['guadalajara']
Vivek,PersonPlaceOfDeath,['chennai']
Vladimir zhirinovsky,PersonPlaceOfDeath,['moscow']
Warren Buffett,PersonPlaceOfDeath,['NONE']
Wes craven,PersonPlaceOfDeath,"['los angeles', 'la']"
Will smith,PersonPlaceOfDeath,['NONE']
Xi Jinping,PersonPlaceOfDeath,['NONE']
Zayn Malik,PersonPlaceOfDeath,['NONE']
Zindzi mandela,PersonPlaceOfDeath,['johannesburg']
