SubjectEntity,Relation,ObjectEntity
Andalusia,StateSharesBorderState,Castilla-La Mancha
Andalusia,StateSharesBorderState,Extremadura
Andalusia,StateSharesBorderState,Murcia
Andalusia,StateSharesBorderState,Melilla
Andalusia,StateSharesBorderState,Ceuta
Auvergne,StateSharesBorderState,Rhone-Alpes
Auvergne,StateSharesBorderState,Burgundy
Auvergne,StateSharesBorderState,Centre-Val de Loire
Auvergne,StateSharesBorderState,Pays de la Loire
Auvergne,StateSharesBorderState,Limousin
Auvergne,StateSharesBorderState,Grand Est
Auvergne,StateSharesBorderState,Occitanie
Basel-stadt,StateSharesBorderState,Basel-Landschaft
Basel-stadt,StateSharesBorderState,Solothurn
Basel-stadt,StateSharesBorderState,Jura
Basel-stadt,StateSharesBorderState,Aargau
Basilicata,StateSharesBorderState,Apulia
Basilicata,StateSharesBorderState,Campania
Basilicata,StateSharesBorderState,Calabria
Basque autonomous community,StateSharesBorderState,Navarre
Basque autonomous community,StateSharesBorderState,La Rioja
Basque autonomous community,StateSharesBorderState,Aragon
Basque autonomous community,StateSharesBorderState,France
Bavaria,StateSharesBorderState,Czech Republic
Bavaria,StateSharesBorderState,Austria
Bavaria,StateSharesBorderState,Switzerland
Bavaria,StateSharesBorderState,Baden-Wurttemberg
Bavaria,StateSharesBorderState,Hesse
Bavaria,StateSharesBorderState,Thuringia
Bavaria,StateSharesBorderState,Saxony
Biobío region,StateSharesBorderState,Araucanía
Biobío region,StateSharesBorderState,Los Ríos
Biobío region,StateSharesBorderState,Maule
Brandenburg,StateSharesBorderState,Mecklenberg-Western Pomerania
Brandenburg,StateSharesBorderState,Pomeranian
Brandenburg,StateSharesBorderState,Schleswig-Holstein
Brandenburg,StateSharesBorderState,Lower Saxony
Canton of glarus,StateSharesBorderState,Uri
Canton of glarus,StateSharesBorderState,Schwyz
Canton of glarus,StateSharesBorderState,St. Gallen
Canton of neuchâtel,StateSharesBorderState,Bern
Canton of neuchâtel,StateSharesBorderState,Jura
Canton of neuchâtel,StateSharesBorderState,Vaud
Canton of schaffhausen,StateSharesBorderState,Zurich
Canton of schaffhausen,StateSharesBorderState,Thurgau
Canton of schaffhausen,StateSharesBorderState,Baden-Wurttemberg
Canton of vaud,StateSharesBorderState,Geneva
Canton of vaud,StateSharesBorderState,Valais
Canton of vaud,StateSharesBorderState,Jura
Canton of zug,StateSharesBorderState,Canton of Lucerne
Canton of zug,StateSharesBorderState,Canton of Aargau
Canton of zug,StateSharesBorderState,Canton of Schwyz
Canton of zürich,StateSharesBorderState,Aargau
Canton of zürich,StateSharesBorderState,Schwyz
Canton of zürich,StateSharesBorderState,St. Gallen
Canton of zürich,StateSharesBorderState,Thurgau
Canton of zürich,StateSharesBorderState,Uri
Canton of zürich,StateSharesBorderState,Zug
Connecticut,StateSharesBorderState,New York
Connecticut,StateSharesBorderState,Rhode Island
Connecticut,StateSharesBorderState,Massachusetts
Drenthe,StateSharesBorderState,Friesland
Drenthe,StateSharesBorderState,Groningen
Drenthe,StateSharesBorderState,Overijssel
Flores department,StateSharesBorderState,Peten department
Free hanseatic city of bremen,StateSharesBorderState,Lower Saxony
French guiana,StateSharesBorderState,Brazil
French guiana,StateSharesBorderState,Suriname
Fukushima prefecture,StateSharesBorderState,Miyagi
Fukushima prefecture,StateSharesBorderState,Iwate
Fukushima prefecture,StateSharesBorderState,Tochigi
Galicia,StateSharesBorderState,Asturias
Galicia,StateSharesBorderState,Castile and Leon
Galicia,StateSharesBorderState,Portugal
Giza governorate,StateSharesBorderState,Faiyum
Giza governorate,StateSharesBorderState,Beni Suef
Giza governorate,StateSharesBorderState,Minya
Giza governorate,StateSharesBorderState,Cairo
Győr,StateSharesBorderState,Vienna
Győr,StateSharesBorderState,Burgenland
Győr,StateSharesBorderState,Slovakia
Győr,StateSharesBorderState,Borsod-Abaúj-Zemplén
Hanoi,StateSharesBorderState,Haiphong
Hanoi,StateSharesBorderState,Thanh Hoa
Hanoi,StateSharesBorderState,Nghe An
Hanoi,StateSharesBorderState,Hoa Binh
Hanoi,StateSharesBorderState,Son La
Hanoi,StateSharesBorderState,Yen Bai
Hanoi,StateSharesBorderState,Lao Cai
Hanoi,StateSharesBorderState,Tuyen Quang
Hanoi,StateSharesBorderState,Lang Son
Hesse,StateSharesBorderState,North Rhine-Westphalia
Hesse,StateSharesBorderState,Rhineland-Palatinate
Hesse,StateSharesBorderState,Baden-Wurttemberg
Hesse,StateSharesBorderState,Bavaria
Iowa,StateSharesBorderState,Minnesota
Iowa,StateSharesBorderState,Wisconsin
Iowa,StateSharesBorderState,Illinois
Iowa,StateSharesBorderState,Missouri
Iowa,StateSharesBorderState,Nebraska
Iowa,StateSharesBorderState,South Dakota
Land of valencia,StateSharesBorderState,Aragon
Land of valencia,StateSharesBorderState,Castilla-La Mancha
Land of valencia,StateSharesBorderState,Murcia
Lombardy,StateSharesBorderState,Piedmont
Lombardy,StateSharesBorderState,Trentino-Alto Adige/Sudtirol
Lombardy,StateSharesBorderState,Veneto
Lombardy,StateSharesBorderState,Emilia-Romagna
