SubjectEntity,Relation,Precision,Recall,F1-score
Acetone,ChemicalCompoundElement,1.0,1.0,1.0
Adenosine diphosphate ribose,ChemicalCompoundElement,0.2,1.0,0.33333333333333337
Aluminium chlorohydrate,ChemicalCompoundElement,0.6666666666666666,1.0,0.8
Aluminum iodide,ChemicalCompoundElement,0.5,0.3333333333333333,0.4
Aminomethylpropanol,ChemicalCompoundElement,1.0,1.0,1.0
Ammonia,ChemicalCompoundElement,1.0,1.0,1.0
Atracurium besylate,ChemicalCompoundElement,0.0,0.0,0.0
Azathioprine,ChemicalCompoundElement,0.5,0.6666666666666666,0.5714285714285715
Azulene,ChemicalCompoundElement,0.5,1.0,0.6666666666666666
Carbonic acid,ChemicalCompoundElement,1.0,1.0,1.0
Cetyl alcohol,ChemicalCompoundElement,0.5,0.5,0.5
Chlorophyll f,ChemicalCompoundElement,0.4,1.0,0.5714285714285715
Coumarin,ChemicalCompoundElement,1.0,1.0,1.0
Cupric phosphate,ChemicalCompoundElement,0.75,1.0,0.8571428571428571
Cyclopropane,ChemicalCompoundElement,0.5,1.0,0.6666666666666666
Ecdysone,ChemicalCompoundElement,0.3333333333333333,1.0,0.5
Ethyl acetoacetate,ChemicalCompoundElement,0.75,1.0,0.8571428571428571
Flavin adenine dinucleotide,ChemicalCompoundElement,0.0,0.0,0.0
Glucagon,ChemicalCompoundElement,0.5,1.0,0.6666666666666666
Glutathione,ChemicalCompoundElement,0.0,0.0,0.0
Gold trichloride,ChemicalCompoundElement,1.0,1.0,1.0
Heptadecane,ChemicalCompoundElement,0.5,1.0,0.6666666666666666
Heroin,ChemicalCompoundElement,0.6666666666666666,1.0,0.8
Hexadecane,ChemicalCompoundElement,0.5,1.0,0.6666666666666666
Hydrazine,ChemicalCompoundElement,0.5,0.5,0.5
Hydroxocobalamin,ChemicalCompoundElement,0.3333333333333333,0.5,0.4
Hyponitrous acid,ChemicalCompoundElement,0.6666666666666666,1.0,0.8
Icosane,ChemicalCompoundElement,1.0,1.0,1.0
Imatinib,ChemicalCompoundElement,0.5,1.0,0.6666666666666666
Lysergic acid diethylamide,ChemicalCompoundElement,0.6,1.0,0.7499999999999999
Maleic acid,ChemicalCompoundElement,0.6666666666666666,1.0,0.8
Mercuric fluoride,ChemicalCompoundElement,1.0,1.0,1.0
Mercurous fluoride,ChemicalCompoundElement,1.0,1.0,1.0
Metformin,ChemicalCompoundElement,0.75,1.0,0.8571428571428571
Methacrylic acid,ChemicalCompoundElement,1.0,1.0,1.0
Motilin,ChemicalCompoundElement,0.3333333333333333,0.5,0.4
Mustard gas,ChemicalCompoundElement,0.6,1.0,0.7499999999999999
Nonadecane,ChemicalCompoundElement,0.5,1.0,0.6666666666666666
Pethidine,ChemicalCompoundElement,1.0,1.0,1.0
Rubidium hydroxide,ChemicalCompoundElement,1.0,1.0,1.0
Sodium hydroxide,ChemicalCompoundElement,1.0,0.6,0.7499999999999999
Sodium tripolyphosphate,ChemicalCompoundElement,1.0,1.0,1.0
Sulfuric acid,ChemicalCompoundElement,1.0,1.0,1.0
Tabun,ChemicalCompoundElement,0.4,0.6666666666666666,0.5
Tenoxicam,ChemicalCompoundElement,0.25,0.5,0.3333333333333333
Tnt,ChemicalCompoundElement,1.0,1.0,1.0
Triethylamine,ChemicalCompoundElement,1.0,1.0,1.0
Triphenylphosphine,ChemicalCompoundElement,0.5,1.0,0.6666666666666666
Vinylidene fluoride,ChemicalCompoundElement,0.6666666666666666,1.0,0.8
Zeaxanthin,ChemicalCompoundElement,0.3333333333333333,1.0,0.5
