SubjectEntity,Relation,F1-score
Abadal,CompanyParentOrganization,0
Aixam,CompanyParentOrganization,0
Alex von falkenhausen motorenbau,CompanyParentOrganization,0
Alvis car and engineering company ltd,CompanyParentOrganization,0
Amphicar,CompanyParentOrganization,0
Artés de arcos,CompanyParentOrganization,0
Aston martin lagonda,CompanyParentOrganization,0
Austro-daimler,CompanyParentOrganization,0
Automobilwerk eisenach,CompanyParentOrganization,0
Bell,CompanyParentOrganization,0
Bertone,CompanyParentOrganization,0
Cadillac,CompanyParentOrganization,0
Central motors,CompanyParentOrganization,0
Changan automobile,CompanyParentOrganization,0
Delage,CompanyParentOrganization,0
Duesenberg,CompanyParentOrganization,0
Fábrica nacional de motores,CompanyParentOrganization,0
Gaz,CompanyParentOrganization,0
Gucci,CompanyParentOrganization,0
Guerry et bourguignon,CompanyParentOrganization,0
Hanomag,CompanyParentOrganization,0
Hyundai motor company,CompanyParentOrganization,0
Industrieverband fahrzeugbau,CompanyParentOrganization,0
Industrija motornih vozil,CompanyParentOrganization,0
Itala,CompanyParentOrganization,0
Jensen motors,CompanyParentOrganization,0
Kaipan,CompanyParentOrganization,0
Kia,CompanyParentOrganization,0
Kojima engineering,CompanyParentOrganization,0
La ponette,CompanyParentOrganization,0
Lada zapad tolyatti,CompanyParentOrganization,0
Lagonda,CompanyParentOrganization,0
Locomobile company of america,CompanyParentOrganization,0
Lotus cars,CompanyParentOrganization,0
Mg car company limited,CompanyParentOrganization,0
Moskvitch,CompanyParentOrganization,0
Nardi,CompanyParentOrganization,0
Nsu,CompanyParentOrganization,0
Peugeot,CompanyParentOrganization,0
Saipa,CompanyParentOrganization,0
Scripps-booth,CompanyParentOrganization,0
Simca,CompanyParentOrganization,0
Società torinese automobili elettrici,CompanyParentOrganization,0
Towarzystwo budowy samochodów as,CompanyParentOrganization,0
Valmet automotive,CompanyParentOrganization,0
Velorex,CompanyParentOrganization,0
Volkswagen,CompanyParentOrganization,0
Yamaha motor company,CompanyParentOrganization,0
Zanella fratelli,CompanyParentOrganization,0
Élan motorsport technologies,CompanyParentOrganization,0
