SubjectEntity,Relation,F1-score
Andorra,CountryBordersWithCountry,0
Angola,CountryBordersWithCountry,0
Australia,CountryBordersWithCountry,0
Bahrain,CountryBordersWithCountry,0
Barbados,CountryBordersWithCountry,0
Belize,CountryBordersWithCountry,0
Bolivia,CountryBordersWithCountry,0
Bosnia and herzegovina,CountryBordersWithCountry,0
Bulgaria,CountryBordersWithCountry,0
Central african republic,CountryBordersWithCountry,0
Comoros,CountryBordersWithCountry,0
Costa rica,CountryBordersWithCountry,0
Cuba,CountryBordersWithCountry,0
Djibouti,CountryBordersWithCountry,0
Dominican republic,CountryBordersWithCountry,0
Eritrea,CountryBordersWithCountry,0
Estonia,CountryBordersWithCountry,0
Georgia,CountryBordersWithCountry,0
Germany,CountryBordersWithCountry,0
Ghana,CountryBordersWithCountry,0
Grenada,CountryBordersWithCountry,0
Guyana,CountryBordersWithCountry,0
Ivory coast,CountryBordersWithCountry,0
Japan,CountryBordersWithCountry,0
Kingdom of denmark,CountryBordersWithCountry,0
Kingdom of the netherlands,CountryBordersWithCountry,0
Morocco,CountryBordersWithCountry,0
Mozambique,CountryBordersWithCountry,0
Myanmar,CountryBordersWithCountry,0
Pakistan,CountryBordersWithCountry,0
Poland,CountryBordersWithCountry,0
Portugal,CountryBordersWithCountry,0
Rwanda,CountryBordersWithCountry,0
Saint vincent and the grenadines,CountryBordersWithCountry,0
Samoa,CountryBordersWithCountry,0
San marino,CountryBordersWithCountry,0
Saudi arabia,CountryBordersWithCountry,0
Somalia,CountryBordersWithCountry,0
Thailand,CountryBordersWithCountry,0
Togo,CountryBordersWithCountry,0
Turkey,CountryBordersWithCountry,0
Uganda,CountryBordersWithCountry,0
United kingdom,CountryBordersWithCountry,0
Uzbekistan,CountryBordersWithCountry,0
Venezuela,CountryBordersWithCountry,0
Zimbabwe,CountryBordersWithCountry,0
gambia,CountryBordersWithCountry,0
