SubjectEntity,Relation,F1-score
Afghanistan,CountryOfficialLanguage,0
Argentina,CountryOfficialLanguage,0
Australia,CountryOfficialLanguage,0
Austria,CountryOfficialLanguage,0
Botswana,CountryOfficialLanguage,0
Brunei,CountryOfficialLanguage,0
Burkina faso,CountryOfficialLanguage,0
Burundi,CountryOfficialLanguage,0
Cameroon,CountryOfficialLanguage,0
Central african republic,CountryOfficialLanguage,0
Colombia,CountryOfficialLanguage,0
Costa rica,CountryOfficialLanguage,0
Croatia,CountryOfficialLanguage,0
East timor,CountryOfficialLanguage,0
Finland,CountryOfficialLanguage,0
France,CountryOfficialLanguage,0
Grenada,CountryOfficialLanguage,0
Guyana,CountryOfficialLanguage,0
Iceland,CountryOfficialLanguage,0
India,CountryOfficialLanguage,0
Israel,CountryOfficialLanguage,0
Jamaica,CountryOfficialLanguage,0
Jordan,CountryOfficialLanguage,0
Kazakhstan,CountryOfficialLanguage,0
Latvia,CountryOfficialLanguage,0
Liechtenstein,CountryOfficialLanguage,0
Maldives,CountryOfficialLanguage,0
Mozambique,CountryOfficialLanguage,0
Nicaragua,CountryOfficialLanguage,0
Niger,CountryOfficialLanguage,0
North macedonia,CountryOfficialLanguage,0
Norway,CountryOfficialLanguage,0
Pakistan,CountryOfficialLanguage,0
Panama,CountryOfficialLanguage,0
People's republic of china,CountryOfficialLanguage,0
Philippines,CountryOfficialLanguage,0
Qatar,CountryOfficialLanguage,0
Rwanda,CountryOfficialLanguage,0
San marino,CountryOfficialLanguage,0
Sao tome and principe,CountryOfficialLanguage,0
Sierra leone,CountryOfficialLanguage,0
Taiwan,CountryOfficialLanguage,0
Tajikistan,CountryOfficialLanguage,0
Yemen,CountryOfficialLanguage,0
Zimbabwe,CountryOfficialLanguage,0
bahamas,CountryOfficialLanguage,0
gambia,CountryOfficialLanguage,0
