SubjectEntity,Relation,Precision,Recall,F1-score
Adele,PersonCauseOfDeath,1.0,1.0,1.0
Ahmed zewail,PersonCauseOfDeath,0.0,0.0,0.0
Aretha franklin,PersonCauseOfDeath,1.0,1.0,1.0
Avicii,PersonCauseOfDeath,0.0,0.0,0.0
Benjamin Netanyahu,PersonCauseOfDeath,1.0,1.0,1.0
Bill Gates,PersonCauseOfDeath,1.0,1.0,1.0
Boris Johnson,PersonCauseOfDeath,1.0,1.0,1.0
Christina grimmie,PersonCauseOfDeath,0.0,0.0,0.0
Christine Lagarde,PersonCauseOfDeath,1.0,1.0,1.0
Cory monteith,PersonCauseOfDeath,1.0,1.0,1.0
Dilip kumar,PersonCauseOfDeath,0.0,0.0,0.0
Donald Knuth,PersonCauseOfDeath,1.0,1.0,1.0
Emmanuel Macron,PersonCauseOfDeath,1.0,1.0,1.0
Ennio morricone,PersonCauseOfDeath,0.0,0.0,0.0
Francois Hollande,PersonCauseOfDeath,1.0,1.0,1.0
Frank sinatra,PersonCauseOfDeath,0.0,0.0,0.0
George h. w. bush,PersonCauseOfDeath,0.0,0.0,0.0
George harrison,PersonCauseOfDeath,1.0,1.0,1.0
Ginni Rometty,PersonCauseOfDeath,1.0,1.0,1.0
Haruma miura,PersonCauseOfDeath,0.0,0.0,0.0
Hu Jintao,PersonCauseOfDeath,1.0,1.0,1.0
Hugh hefner,PersonCauseOfDeath,0.0,0.0,0.0
Idriss déby,PersonCauseOfDeath,0.0,0.0,0.0
Indra Nooyi,PersonCauseOfDeath,1.0,1.0,1.0
Jim rohn,PersonCauseOfDeath,0.0,0.0,0.0
John magufuli,PersonCauseOfDeath,0.0,0.0,0.0
Johnny cash,PersonCauseOfDeath,0.0,0.0,0.0
Larry Page,PersonCauseOfDeath,1.0,1.0,1.0
Larry king,PersonCauseOfDeath,0.0,0.0,0.0
Maurane,PersonCauseOfDeath,0.0,0.0,0.0
Maya angelou,PersonCauseOfDeath,0.0,0.0,0.0
Melinda Gates,PersonCauseOfDeath,1.0,1.0,1.0
Michelle Obama,PersonCauseOfDeath,1.0,1.0,1.0
Mikhail zadornov,PersonCauseOfDeath,1.0,1.0,1.0
Miles davis,PersonCauseOfDeath,0.0,0.0,0.0
Nelson mandela,PersonCauseOfDeath,0.0,0.0,0.0
Paul Pogba,PersonCauseOfDeath,1.0,1.0,1.0
Pitbull,PersonCauseOfDeath,1.0,1.0,1.0
Richard Dawkins,PersonCauseOfDeath,1.0,1.0,1.0
Rihanna,PersonCauseOfDeath,1.0,1.0,1.0
Rishi kapoor,PersonCauseOfDeath,0.0,0.0,0.0
Robert Lewandowsk,PersonCauseOfDeath,1.0,1.0,1.0
Robert downey jr.,PersonCauseOfDeath,1.0,1.0,1.0
Roddy piper,PersonCauseOfDeath,0.0,0.0,0.0
Ronaldinho,PersonCauseOfDeath,1.0,1.0,1.0
Roy orbison,PersonCauseOfDeath,0.0,0.0,0.0
Russell Crowe,PersonCauseOfDeath,1.0,1.0,1.0
Sandra Bullock,PersonCauseOfDeath,1.0,1.0,1.0
Ursula von der leyen,PersonCauseOfDeath,1.0,1.0,1.0
Victoria Beckham,PersonCauseOfDeath,1.0,1.0,1.0
