SubjectEntity,Relation,F1-score
Abdul rehman malik,PersonPlaceOfDeath,0
Adam west,PersonPlaceOfDeath,0
Adele,PersonPlaceOfDeath,0
Alan garcía,PersonPlaceOfDeath,0
Alfredo gonzález flores,PersonPlaceOfDeath,0
Almudena grandes,PersonPlaceOfDeath,0
Anne rice,PersonPlaceOfDeath,0
Aretha franklin,PersonPlaceOfDeath,0
Avicii,PersonPlaceOfDeath,0
Benjamin Netanyahu,PersonPlaceOfDeath,0
Bill Gates,PersonPlaceOfDeath,0
Boris Johnson,PersonPlaceOfDeath,0
Cameron boyce,PersonPlaceOfDeath,0
Chespirito,PersonPlaceOfDeath,0
Chick corea,PersonPlaceOfDeath,0
Chris cornell,PersonPlaceOfDeath,0
Christine Lagarde,PersonPlaceOfDeath,0
Donald Knuth,PersonPlaceOfDeath,0
Elijah cummings,PersonPlaceOfDeath,0
Emmanuel Macron,PersonPlaceOfDeath,0
Francois Hollande,PersonPlaceOfDeath,0
George h. w. bush,PersonPlaceOfDeath,0
Ginni Rometty,PersonPlaceOfDeath,0
Glenn fredly,PersonPlaceOfDeath,0
Hu Jintao,PersonPlaceOfDeath,0
Hugo chávez,PersonPlaceOfDeath,0
Indra Nooyi,PersonPlaceOfDeath,0
John coltrane,PersonPlaceOfDeath,0
John lennon,PersonPlaceOfDeath,0
Ken robinson,PersonPlaceOfDeath,0
Kurt vonnegut,PersonPlaceOfDeath,0
Larry Page,PersonPlaceOfDeath,0
Melinda Gates,PersonPlaceOfDeath,0
Michael collins,PersonPlaceOfDeath,0
Michael jackson,PersonPlaceOfDeath,0
Michelle Obama,PersonPlaceOfDeath,0
Paul Pogba,PersonPlaceOfDeath,0
Paul g. allen,PersonPlaceOfDeath,0
Pitbull,PersonPlaceOfDeath,0
Rachel caine,PersonPlaceOfDeath,0
Richard Dawkins,PersonPlaceOfDeath,0
Rihanna,PersonPlaceOfDeath,0
Roald dahl,PersonPlaceOfDeath,0
Robert Lewandowsk,PersonPlaceOfDeath,0
Robert downey jr.,PersonPlaceOfDeath,0
Ronaldinho,PersonPlaceOfDeath,0
Russell Crowe,PersonPlaceOfDeath,0
Sandra Bullock,PersonPlaceOfDeath,0
Ursula von der leyen,PersonPlaceOfDeath,0
Victoria Beckham,PersonPlaceOfDeath,0
