SubjectEntity,Relation,Precision,Recall,F1-score
Akon,PersonProfession,0.6666666666666666,0.8,0.7272727272727272
Akshay Kumar,PersonProfession,0.3333333333333333,0.4,0.3636363636363636
Al Gore,PersonProfession,0.2222222222222222,0.2857142857142857,0.25
André-Pierre Gignac,PersonProfession,1.0,1.0,1.0
Ashley Tisdale,PersonProfession,1.0,0.45454545454545453,0.625
Bryan Cranston,PersonProfession,1.0,0.7,0.8235294117647058
Calvin Harris,PersonProfession,1.0,0.5714285714285714,0.7272727272727273
Chris Brown,PersonProfession,0.8333333333333334,1.0,0.9090909090909091
Coco Austin,PersonProfession,0.6666666666666666,0.5,0.5714285714285715
Daniel Tosh,PersonProfession,0.6666666666666666,0.26666666666666666,0.3809523809523809
Drake,PersonProfession,1.0,0.8333333333333334,0.9090909090909091
Elon Musk,PersonProfession,0.3333333333333333,0.5,0.4
Enrique Iglesias,PersonProfession,1.0,0.7142857142857143,0.8333333333333333
Ezra Klein,PersonProfession,0.6,0.42857142857142855,0.5
George Harrison,PersonProfession,1.0,0.4117647058823529,0.5833333333333334
Harbhajan Singh,PersonProfession,1.0,1.0,1.0
J. K. Rowling,PersonProfession,0.6,0.42857142857142855,0.5
Jay-Z,PersonProfession,1.0,0.47058823529411764,0.6399999999999999
Jim Carrey,PersonProfession,0.8,0.5,0.6153846153846154
Jose Michimani,PersonProfession,0.0,0.0,0.0
Khloé Kardashian,PersonProfession,0.4,0.14285714285714285,0.21052631578947364
Lady Gaga,PersonProfession,0.25,1.0,0.4
Lewis Hamilton,PersonProfession,0.0,0.0,0.0
Ludacris,PersonProfession,0.8,0.3076923076923077,0.4444444444444444
Mark Hoppus,PersonProfession,0.5714285714285714,0.8,0.6666666666666666
Mark Ruffalo,PersonProfession,0.75,0.42857142857142855,0.5454545454545454
Memphis Depay,PersonProfession,1.0,0.5,0.6666666666666666
Michael Jackson,PersonProfession,0.7777777777777778,0.3684210526315789,0.5
Mohamed Morsi,PersonProfession,1.0,0.25,0.4
Narendra Modi,PersonProfession,0.5,0.25,0.3333333333333333
Nick Jonas,PersonProfession,0.6,0.3,0.4
Patrick Stewart,PersonProfession,0.8333333333333334,0.7142857142857143,0.7692307692307692
Paul McCartney,PersonProfession,0.6666666666666666,0.375,0.4800000000000001
Paulo Coelho,PersonProfession,0.2,0.2,0.20000000000000004
Psy,PersonProfession,0.8333333333333334,0.7142857142857143,0.7692307692307692
Rachel Maddow,PersonProfession,0.0,0.0,0.0
Ricky Martin,PersonProfession,0.4,0.5714285714285714,0.47058823529411764
Rob Kardashian,PersonProfession,0.3333333333333333,0.25,0.28571428571428575
Robert Downey Jr.,PersonProfession,0.4,0.2222222222222222,0.2857142857142857
Robin van Persie,PersonProfession,1.0,1.0,1.0
Ronaldinho,PersonProfession,1.0,0.5,0.6666666666666666
Serena Williams,PersonProfession,1.0,0.16666666666666666,0.2857142857142857
Stephen Fry,PersonProfession,0.7777777777777778,0.4117647058823529,0.5384615384615384
Stephen King,PersonProfession,0.5555555555555556,0.45454545454545453,0.5
Tiger Woods,PersonProfession,1.0,0.3333333333333333,0.5
Triple H,PersonProfession,0.6666666666666666,0.3333333333333333,0.4444444444444444
V. V. S. Laxman,PersonProfession,1.0,1.0,1.0
Vladimir Putin,PersonProfession,0.5,0.14285714285714285,0.22222222222222224
Zac Efron,PersonProfession,1.0,0.25,0.4
will.i.am,PersonProfession,0.5454545454545454,0.4,0.4615384615384615
