SubjectEntity,Relation,Precision,Recall,F1-score
Alagón river,RiverBasinsCountry,1.0,1.0,1.0
Apurímac river,RiverBasinsCountry,1.0,1.0,1.0
Brenta,RiverBasinsCountry,1.0,1.0,1.0
Büyük menderes river,RiverBasinsCountry,1.0,1.0,1.0
Dahme,RiverBasinsCountry,1.0,1.0,1.0
Danube,RiverBasinsCountry,0.8333333333333334,1.0,0.9090909090909091
Didi liakhvi river,RiverBasinsCountry,0.5,1.0,0.6666666666666666
Dniester,RiverBasinsCountry,0.6666666666666666,1.0,0.8
Donets,RiverBasinsCountry,1.0,1.0,1.0
Dordogne,RiverBasinsCountry,1.0,1.0,1.0
Gadar river,RiverBasinsCountry,0.0,0.0,0.0
Gambia river,RiverBasinsCountry,1.0,0.6666666666666666,0.8
Han river,RiverBasinsCountry,0.0,0.0,0.0
Iguazu river,RiverBasinsCountry,1.0,1.0,1.0
Inn,RiverBasinsCountry,1.0,1.0,1.0
Japurá river,RiverBasinsCountry,1.0,1.0,1.0
Kura river,RiverBasinsCountry,0.6,1.0,0.7499999999999999
Lielupe,RiverBasinsCountry,1.0,1.0,1.0
Limpopo river,RiverBasinsCountry,1.0,1.0,1.0
Loire,RiverBasinsCountry,1.0,1.0,1.0
Maritsa,RiverBasinsCountry,1.0,1.0,1.0
Morava,RiverBasinsCountry,0.75,1.0,0.8571428571428571
Narew,RiverBasinsCountry,1.0,1.0,1.0
Narva river,RiverBasinsCountry,1.0,0.5,0.6666666666666666
Neckar,RiverBasinsCountry,1.0,1.0,1.0
Neman,RiverBasinsCountry,0.75,0.75,0.75
Neris,RiverBasinsCountry,0.6666666666666666,0.6666666666666666,0.6666666666666666
Niger river,RiverBasinsCountry,1.0,1.0,1.0
Nizhnyaya tunguska,RiverBasinsCountry,1.0,1.0,1.0
Oder,RiverBasinsCountry,1.0,0.6666666666666666,0.8
Ottawa river,RiverBasinsCountry,0.5,1.0,0.6666666666666666
Paraguay river,RiverBasinsCountry,0.75,1.0,0.8571428571428571
Pechora,RiverBasinsCountry,1.0,1.0,1.0
Red river of the south,RiverBasinsCountry,0.0,0.0,0.0
Sakarya river,RiverBasinsCountry,1.0,1.0,1.0
San,RiverBasinsCountry,0.0,0.0,0.0
Shatt al-arab,RiverBasinsCountry,1.0,0.3333333333333333,0.5
Siret river,RiverBasinsCountry,0.6666666666666666,1.0,0.8
Someș river,RiverBasinsCountry,0.5,0.5,0.5
Tiber,RiverBasinsCountry,1.0,1.0,1.0
Ticino,RiverBasinsCountry,1.0,1.0,1.0
Tisza,RiverBasinsCountry,1.0,0.8,0.888888888888889
Torne river,RiverBasinsCountry,1.0,0.6666666666666666,0.8
Ural river,RiverBasinsCountry,1.0,1.0,1.0
Uruguay river,RiverBasinsCountry,1.0,1.0,1.0
Ussuri,RiverBasinsCountry,0.5,1.0,0.6666666666666666
Vézère,RiverBasinsCountry,1.0,1.0,1.0
Yangtze,RiverBasinsCountry,1.0,1.0,1.0
Yantra,RiverBasinsCountry,0.5,1.0,0.6666666666666666
Yellow river,RiverBasinsCountry,1.0,1.0,1.0
