SubjectEntity,Relation,F1-score
Andalusia,StateSharesBorderState,0
Auvergne,StateSharesBorderState,0
Basel-stadt,StateSharesBorderState,0
Basilicata,StateSharesBorderState,0
Basque autonomous community,StateSharesBorderState,0
Bavaria,StateSharesBorderState,0
Biobío region,StateSharesBorderState,0
Brandenburg,StateSharesBorderState,0
Canton of glarus,StateSharesBorderState,0
Canton of neuchâtel,StateSharesBorderState,0
Canton of schaffhausen,StateSharesBorderState,0
Canton of vaud,StateSharesBorderState,0
Canton of zug,StateSharesBorderState,0
Canton of zürich,StateSharesBorderState,0
Connecticut,StateSharesBorderState,0
Drenthe,StateSharesBorderState,0
Flores department,StateSharesBorderState,0
Free hanseatic city of bremen,StateSharesBorderState,0
French guiana,StateSharesBorderState,0
Fukushima prefecture,StateSharesBorderState,0
Galicia,StateSharesBorderState,0
Giza governorate,StateSharesBorderState,0
Győr,StateSharesBorderState,0
Hanoi,StateSharesBorderState,0
Hesse,StateSharesBorderState,0
Iowa,StateSharesBorderState,0
Land of valencia,StateSharesBorderState,0
Lombardy,StateSharesBorderState,0
Los lagos region,StateSharesBorderState,0
Luxembourg district,StateSharesBorderState,0
Massachusetts,StateSharesBorderState,0
Nebraska,StateSharesBorderState,0
New hampshire,StateSharesBorderState,0
New jersey,StateSharesBorderState,0
O'higgins region,StateSharesBorderState,0
Obwalden,StateSharesBorderState,0
Ohio,StateSharesBorderState,0
Päijänne tavastia,StateSharesBorderState,0
Rhineland-palatinate,StateSharesBorderState,0
Río negro department,StateSharesBorderState,0
Salto department,StateSharesBorderState,0
San josé department,StateSharesBorderState,0
Santiago metropolitan region,StateSharesBorderState,0
Scotland,StateSharesBorderState,0
Soriano department,StateSharesBorderState,0
Tacuarembó department,StateSharesBorderState,0
Tavastia proper,StateSharesBorderState,0
Tokyo,StateSharesBorderState,0
Virginia,StateSharesBorderState,0
Zagreb,StateSharesBorderState,0
