SubjectEntity,relation,ObjectEntity
Acetaldehyde,ChemicalCompoundElement,['hydrogen']
Acetaldehyde,ChemicalCompoundElement,['carbon']
Acetaldehyde,ChemicalCompoundElement,['oxygen']
Amitriptyline,ChemicalCompoundElement,['carbon']
Ammonium nitrate,ChemicalCompoundElement,['oxygen']
Ammonium nitrate,ChemicalCompoundElement,['hydrogen']
Ammonium nitrate,ChemicalCompoundElement,['nitrogen']
Arsenic trioxide,ChemicalCompoundElement,['arsenic']
Arsenic trioxide,ChemicalCompoundElement,['oxygen']
Aspartame,ChemicalCompoundElement,['oxygen']
Aspartame,ChemicalCompoundElement,['carbon']
Aspirin,ChemicalCompoundElement,['oxygen']
Aspirin,ChemicalCompoundElement,['carbon']
Aspirin,ChemicalCompoundElement,['hydrogen']
Benzyl alcohol,ChemicalCompoundElement,['oxygen']
Benzyl alcohol,ChemicalCompoundElement,['carbon']
Biguanide,ChemicalCompoundElement,['carbon']
Biguanide,ChemicalCompoundElement,['nitrogen']
Biotin,ChemicalCompoundElement,['sulfur']
Biotin,ChemicalCompoundElement,['oxygen']
Biotin,ChemicalCompoundElement,['nitrogen']
Biotin,ChemicalCompoundElement,['hydrogen']
Biotin,ChemicalCompoundElement,['carbon']
Bismuth subsalicylate,ChemicalCompoundElement,['bismuth']
Borax,ChemicalCompoundElement,['boron']
Borax,ChemicalCompoundElement,['oxygen']
Borax,ChemicalCompoundElement,['sodium']
Budipine,ChemicalCompoundElement,['nitrogen']
Budipine,ChemicalCompoundElement,['carbon']
Calcium carbonate,ChemicalCompoundElement,['calcium']
Calcium carbonate,ChemicalCompoundElement,['oxygen']
Calcium carbonate,ChemicalCompoundElement,['carbon']
Calcium peroxide,ChemicalCompoundElement,['calcium']
Calcium peroxide,ChemicalCompoundElement,['oxygen']
Calomel,ChemicalCompoundElement,['chlorine']
Calomel,ChemicalCompoundElement,['mercury']
Cesium fluoride,ChemicalCompoundElement,['fluorine']
Cesium fluoride,ChemicalCompoundElement,['caesium']
Cesium iodide,ChemicalCompoundElement,['iodine']
Cesium iodide,ChemicalCompoundElement,['caesium']
Chloric acid,ChemicalCompoundElement,['hydrogen']
Chloric acid,ChemicalCompoundElement,['oxygen']
Chloric acid,ChemicalCompoundElement,['chlorine']
Chlorophyll d,ChemicalCompoundElement,['nitrogen']
Chlorophyll d,ChemicalCompoundElement,['carbon']
Chlorophyll d,ChemicalCompoundElement,['oxygen']
Chlorophyll d,ChemicalCompoundElement,['hydrogen']
Chlorophyll d,ChemicalCompoundElement,['magnesium']
Codeine,ChemicalCompoundElement,['carbon']
Codeine,ChemicalCompoundElement,['nitrogen']
Copper hydride,ChemicalCompoundElement,['hydrogen']
Cupric sulfate,ChemicalCompoundElement,['copper']
Cupric sulfate,ChemicalCompoundElement,['sulfur']
Cupric sulfate,ChemicalCompoundElement,['oxygen']
Cyclobutane,ChemicalCompoundElement,['hydrogen']
Cyclobutane,ChemicalCompoundElement,['carbon']
Decene,ChemicalCompoundElement,['carbon']
Disilane,ChemicalCompoundElement,['hydrogen']
Disilane,ChemicalCompoundElement,['silicon']
Docosane,ChemicalCompoundElement,['carbon']
Dodecane,ChemicalCompoundElement,['carbon']
Droperidol,ChemicalCompoundElement,['carbon']
Droperidol,ChemicalCompoundElement,['nitrogen']
Droperidol,ChemicalCompoundElement,['fluorine']
Droperidol,ChemicalCompoundElement,['oxygen']
Ethane,ChemicalCompoundElement,['carbon']
Ethylidene chloride,ChemicalCompoundElement,['chlorine']
Ethylidene chloride,ChemicalCompoundElement,['carbon']
Eucalyptol,ChemicalCompoundElement,['carbon']
Formic acid,ChemicalCompoundElement,['oxygen']
Formic acid,ChemicalCompoundElement,['carbon']
Formic acid,ChemicalCompoundElement,['hydrogen']
Gallium trichloride,ChemicalCompoundElement,['gallium']
Gallium trichloride,ChemicalCompoundElement,['chlorine']
Gluconolactone,ChemicalCompoundElement,['oxygen']
Gluconolactone,ChemicalCompoundElement,['hydrogen']
Gluconolactone,ChemicalCompoundElement,['carbon']
Glycerol,ChemicalCompoundElement,['glyceryl']
Glycerol,ChemicalCompoundElement,['oxygen']
Glycerol,ChemicalCompoundElement,['carbon']
Glycerol,ChemicalCompoundElement,['hydrogen']
Guanine,ChemicalCompoundElement,['hydrogen']
Guanine,ChemicalCompoundElement,['carbon']
Guanine,ChemicalCompoundElement,['nitrogen']
Guanine,ChemicalCompoundElement,['oxygen']
Harmaline,ChemicalCompoundElement,['oxygen']
Harmaline,ChemicalCompoundElement,['carbon']
Harmaline,ChemicalCompoundElement,['nitrogen']
Hexane,ChemicalCompoundElement,['carbon']
Hexane,ChemicalCompoundElement,['hydrogen']
Hydrogen bromide,ChemicalCompoundElement,['hydrogen']
Hydrogen bromide,ChemicalCompoundElement,['bromine']
Hydrogen fluoride,ChemicalCompoundElement,['hydrogen']
Hydrogen fluoride,ChemicalCompoundElement,['fluorine']
Hydrogen iodide,ChemicalCompoundElement,['hydrogen']
Hydrogen iodide,ChemicalCompoundElement,['iodine']
Hydrogen peroxide,ChemicalCompoundElement,['oxygen']
Hydrogen peroxide,ChemicalCompoundElement,['hydrogen']
Hydrogen sulfide,ChemicalCompoundElement,['hydrogen']
Hydrogen sulfide,ChemicalCompoundElement,['sulfur']
Ibandronic acid,ChemicalCompoundElement,['phosphorus']
Ibandronic acid,ChemicalCompoundElement,['carbon']
Inositol trisphosphate,ChemicalCompoundElement,['carbon']
Isocyanic acid,ChemicalCompoundElement,['oxygen']
Isocyanic acid,ChemicalCompoundElement,['carbon']
Isocyanic acid,ChemicalCompoundElement,['hydrogen']
Isocyanic acid,ChemicalCompoundElement,['nitrogen']
Lead azide,ChemicalCompoundElement,['lead']
Lead azide,ChemicalCompoundElement,['nitrogen']
Levomenol,ChemicalCompoundElement,['oxygen']
Levomenol,ChemicalCompoundElement,['hydrogen']
Levomenol,ChemicalCompoundElement,['carbon']
Manganese acetate,ChemicalCompoundElement,['manganese']
Manganese acetate,ChemicalCompoundElement,['oxygen']
Manganese acetate,ChemicalCompoundElement,['carbon']
Melatonin,ChemicalCompoundElement,['nitrogen']
Melatonin,ChemicalCompoundElement,['carbon']
Mercuric chloride,ChemicalCompoundElement,['mercury']
Mercuric chloride,ChemicalCompoundElement,['chlorine']
Mercurous bromide,ChemicalCompoundElement,['mercury']
Mercurous bromide,ChemicalCompoundElement,['bromine']
Methane,ChemicalCompoundElement,['carbon']
Methane,ChemicalCompoundElement,['hydrogen']
Methanol,ChemicalCompoundElement,['carbon']
Methanol,ChemicalCompoundElement,['hydrogen']
Methanol,ChemicalCompoundElement,['oxygen']
Methenamine,ChemicalCompoundElement,['nitrogen']
Methenamine,ChemicalCompoundElement,['carbon']
Methenamine,ChemicalCompoundElement,['hydrogen']
Methylacetylene,ChemicalCompoundElement,['carbon']
Morphine,ChemicalCompoundElement,['hydrogen']
Morphine,ChemicalCompoundElement,['nitrogen']
Morphine,ChemicalCompoundElement,['oxygen']
Morphine,ChemicalCompoundElement,['carbon']
Niacin,ChemicalCompoundElement,['hydrogen']
Niacin,ChemicalCompoundElement,['carbon']
Niacin,ChemicalCompoundElement,['nitrogen']
Niacin,ChemicalCompoundElement,['oxygen']
Nifedipine,ChemicalCompoundElement,['carbon']
Nifedipine,ChemicalCompoundElement,['nitrogen']
Nifedipine,ChemicalCompoundElement,['oxygen']
Nitric acid,ChemicalCompoundElement,['oxygen']
Nitric acid,ChemicalCompoundElement,['nitrogen']
Nitric acid,ChemicalCompoundElement,['hydrogen']
Nitroglycerin,ChemicalCompoundElement,['hydrogen']
