SubjectEntity,relation,ObjectEntity
Albania,CountryOfficialLanguage,['albanian']
Andorra,CountryOfficialLanguage,['catalan']
Angola,CountryOfficialLanguage,['portuguese']
Antigua and barbuda,CountryOfficialLanguage,['english']
Armenia,CountryOfficialLanguage,['armenian']
Azerbaijan,CountryOfficialLanguage,['azerbaijani']
Bahrain,CountryOfficialLanguage,['arabic']
Bangladesh,CountryOfficialLanguage,['bengali']
Belarus,CountryOfficialLanguage,['belarusian']
Belarus,CountryOfficialLanguage,['russian']
Benin,CountryOfficialLanguage,['french']
Bhutan,CountryOfficialLanguage,['dzongkha']
Bosnia and herzegovina,CountryOfficialLanguage,['bosnian']
Bosnia and herzegovina,CountryOfficialLanguage,['serbian']
Bosnia and herzegovina,CountryOfficialLanguage,['croatian']
Bulgaria,CountryOfficialLanguage,['bulgarian']
Cambodia,CountryOfficialLanguage,['khmer']
Canada,CountryOfficialLanguage,['french']
Canada,CountryOfficialLanguage,['english']
Chile,CountryOfficialLanguage,['spanish']
Comoros,CountryOfficialLanguage,['french']
Comoros,CountryOfficialLanguage,['comorian']
Comoros,CountryOfficialLanguage,['arabic']
Cuba,CountryOfficialLanguage,['cuban spanish']
Cuba,CountryOfficialLanguage,['spanish']
Cyprus,CountryOfficialLanguage,['turkish']
Cyprus,CountryOfficialLanguage,['greek']
Cyprus,CountryOfficialLanguage,"['modern greek', 'greek']"
Czech republic,CountryOfficialLanguage,['czech']
Democratic republic of the congo,CountryOfficialLanguage,['french']
Djibouti,CountryOfficialLanguage,['french']
Djibouti,CountryOfficialLanguage,['arabic']
Dominica,CountryOfficialLanguage,['english']
Dominican republic,CountryOfficialLanguage,['spanish']
Egypt,CountryOfficialLanguage,['arabic']
El salvador,CountryOfficialLanguage,['spanish']
Equatorial guinea,CountryOfficialLanguage,['portuguese']
Equatorial guinea,CountryOfficialLanguage,['spanish']
Equatorial guinea,CountryOfficialLanguage,['french']
Eritrea,CountryOfficialLanguage,['arabic']
Eritrea,CountryOfficialLanguage,['english']
Eritrea,CountryOfficialLanguage,['tigrinya']
Estonia,CountryOfficialLanguage,['estonian']
Eswatini,CountryOfficialLanguage,['swazi']
Eswatini,CountryOfficialLanguage,['english']
Ethiopia,CountryOfficialLanguage,['amharic']
Fiji,CountryOfficialLanguage,['english']
Fiji,CountryOfficialLanguage,['hindustani']
Fiji,CountryOfficialLanguage,"['fiji hindi', 'hindi']"
Fiji,CountryOfficialLanguage,['fijian']
Georgia,CountryOfficialLanguage,['georgian']
Georgia,CountryOfficialLanguage,['abkhaz']
Ghana,CountryOfficialLanguage,['english']
Greece,CountryOfficialLanguage,['demotic greek']
Greece,CountryOfficialLanguage,['greek']
Guinea,CountryOfficialLanguage,['french']
Guinea-bissau,CountryOfficialLanguage,['portuguese']
Honduras,CountryOfficialLanguage,['spanish']
Indonesia,CountryOfficialLanguage,['javanese']
Indonesia,CountryOfficialLanguage,['indonesian']
Iraq,CountryOfficialLanguage,['arabic']
Iraq,CountryOfficialLanguage,['kurdish']
Italy,CountryOfficialLanguage,['italian']
Kingdom of denmark,CountryOfficialLanguage,['faroese']
Kingdom of denmark,CountryOfficialLanguage,['greenlandic']
Kingdom of denmark,CountryOfficialLanguage,['danish']
Kingdom of the netherlands,CountryOfficialLanguage,['dutch']
Kiribati,CountryOfficialLanguage,['gilbertese']
Kiribati,CountryOfficialLanguage,['english']
Lesotho,CountryOfficialLanguage,['english']
Lesotho,CountryOfficialLanguage,['sesotho']
Libya,CountryOfficialLanguage,['arabic']
Madagascar,CountryOfficialLanguage,['malagasy']
Madagascar,CountryOfficialLanguage,['french']
Malaysia,CountryOfficialLanguage,['malay']
Mali,CountryOfficialLanguage,['french']
Malta,CountryOfficialLanguage,['english']
Malta,CountryOfficialLanguage,['maltese']
Mauritania,CountryOfficialLanguage,['arabic']
Mexico,CountryOfficialLanguage,['nahuatl']
Mexico,CountryOfficialLanguage,['spanish']
Mexico,CountryOfficialLanguage,['mexican']
Mexico,CountryOfficialLanguage,['yucatec maya']
Moldova,CountryOfficialLanguage,['romanian']
Moldova,CountryOfficialLanguage,['moldovan']
Mongolia,CountryOfficialLanguage,['mongolian']
Myanmar,CountryOfficialLanguage,['burmese']
Namibia,CountryOfficialLanguage,['english']
Nauru,CountryOfficialLanguage,['english']
Nauru,CountryOfficialLanguage,['nauruan']
Nepal,CountryOfficialLanguage,['nepali']
New zealand,CountryOfficialLanguage,['english']
New zealand,CountryOfficialLanguage,"['māori', 'maori']"
North korea,CountryOfficialLanguage,['korean']
Palau,CountryOfficialLanguage,['english']
Palau,CountryOfficialLanguage,['japanese']
Palau,CountryOfficialLanguage,['palauan']
Papua new guinea,CountryOfficialLanguage,['hiri motu']
Papua new guinea,CountryOfficialLanguage,['english']
Papua new guinea,CountryOfficialLanguage,['tok pisin']
Paraguay,CountryOfficialLanguage,['guarani']
Paraguay,CountryOfficialLanguage,['spanish']
Peru,CountryOfficialLanguage,['quechua']
Peru,CountryOfficialLanguage,['spanish']
Peru,CountryOfficialLanguage,['aymara']
Poland,CountryOfficialLanguage,['polish']
Portugal,CountryOfficialLanguage,['portuguese']
Portugal,CountryOfficialLanguage,['mirandese']
Republic of ireland,CountryOfficialLanguage,['english']
Republic of ireland,CountryOfficialLanguage,['irish']
Romania,CountryOfficialLanguage,['romanian']
Russia,CountryOfficialLanguage,['russian']
Saint kitts and nevis,CountryOfficialLanguage,['english']
Saint lucia,CountryOfficialLanguage,['english']
Saint vincent and the grenadines,CountryOfficialLanguage,['english']
Saudi arabia,CountryOfficialLanguage,['arabic']
Senegal,CountryOfficialLanguage,['badyara']
Senegal,CountryOfficialLanguage,['french']
Senegal,CountryOfficialLanguage,['wolof']
Senegal,CountryOfficialLanguage,['balanta']
Serbia,CountryOfficialLanguage,['serbian']
Seychelles,CountryOfficialLanguage,['english']
Seychelles,CountryOfficialLanguage,['french']
Seychelles,CountryOfficialLanguage,"['seychellois creole', 'creole']"
Singapore,CountryOfficialLanguage,['english']
Singapore,CountryOfficialLanguage,['malay']
Singapore,CountryOfficialLanguage,"['standard mandarin', 'mandarin']"
Singapore,CountryOfficialLanguage,['tamil']
Slovakia,CountryOfficialLanguage,['slovak']
Slovenia,CountryOfficialLanguage,['slovene']
South korea,CountryOfficialLanguage,['korean']
South sudan,CountryOfficialLanguage,['english']
South sudan,CountryOfficialLanguage,['arabic']
Sri lanka,CountryOfficialLanguage,['sinhala']
Sri lanka,CountryOfficialLanguage,['tamil']
State of palestine,CountryOfficialLanguage,['arabic']
Suriname,CountryOfficialLanguage,['dutch']
Tanzania,CountryOfficialLanguage,['swahili']
Tanzania,CountryOfficialLanguage,['english']
Thailand,CountryOfficialLanguage,['thai']
Togo,CountryOfficialLanguage,['french']
Trinidad and tobago,CountryOfficialLanguage,['english']
Tunisia,CountryOfficialLanguage,['arabic']
Turkmenistan,CountryOfficialLanguage,['turkmen']
Tuvalu,CountryOfficialLanguage,['tuvaluan']
Tuvalu,CountryOfficialLanguage,['english']
Uganda,CountryOfficialLanguage,['swahili']
Uganda,CountryOfficialLanguage,['english']
Ukraine,CountryOfficialLanguage,['ukrainian']
United arab emirates,CountryOfficialLanguage,['arabic']
United kingdom,CountryOfficialLanguage,['english']
United states of america,CountryOfficialLanguage,"['english', 'american english']"
Uzbekistan,CountryOfficialLanguage,['uzbek']
Vanuatu,CountryOfficialLanguage,['bislama']
Vanuatu,CountryOfficialLanguage,['french']
Vanuatu,CountryOfficialLanguage,['english']
Venezuela,CountryOfficialLanguage,['spanish']
Zambia,CountryOfficialLanguage,['english']
