SubjectEntity,relation,ObjectEntity
Abakan,RiverBasinsCountry,['russia']
Adige,RiverBasinsCountry,['italy']
Alazani,RiverBasinsCountry,['azerbaijan']
Alazani,RiverBasinsCountry,['georgia']
Amu darya,RiverBasinsCountry,['uzbekistan']
Amu darya,RiverBasinsCountry,['afghanistan']
Amu darya,RiverBasinsCountry,['tajikistan']
Amu darya,RiverBasinsCountry,['turkmenistan']
Amur,RiverBasinsCountry,"['china', ""people's republic of china""]"
Amur,RiverBasinsCountry,['russia']
Angara,RiverBasinsCountry,['russia']
Araguaia river,RiverBasinsCountry,['brazil']
Arghandab river,RiverBasinsCountry,['afghanistan']
Arkansas river,RiverBasinsCountry,"['usa', 'united states of america']"
Arkansas river,RiverBasinsCountry,['colorado']
Athabasca river,RiverBasinsCountry,['canada']
Berezina river,RiverBasinsCountry,['belarus']
Brahmaputra river,RiverBasinsCountry,"['china', ""people's republic of china""]"
Brahmaputra river,RiverBasinsCountry,['india']
Brahmaputra river,RiverBasinsCountry,['bangladesh']
Brahmaputra river,RiverBasinsCountry,['nepal']
Bío bío river,RiverBasinsCountry,['chile']
Chao phraya river,RiverBasinsCountry,['thailand']
Chari river,RiverBasinsCountry,"['central african republic', 'africa']"
Chari river,RiverBasinsCountry,['cameroon']
Chari river,RiverBasinsCountry,['chad']
Colorado river,RiverBasinsCountry,['mexico']
Colorado river,RiverBasinsCountry,"['usa', 'united states of america']"
Columbia river,RiverBasinsCountry,['canada']
Columbia river,RiverBasinsCountry,"['usa', 'united states of america']"
Congo,RiverBasinsCountry,"['democratic republic of the congo', 'congo']"
Congo,RiverBasinsCountry,"['republic of the congo', 'congo']"
Congo,RiverBasinsCountry,['angola']
Congo,RiverBasinsCountry,['zambia']
Darling river,RiverBasinsCountry,['new south wales']
Darling river,RiverBasinsCountry,['australia']
Dnieper river,RiverBasinsCountry,['russia']
Dnieper river,RiverBasinsCountry,['belarus']
Dnieper river,RiverBasinsCountry,['ukraine']
Drava,RiverBasinsCountry,['hungary']
